infant deaths,Alcohol,Hepatitis B,Measles,BMI,Polio,Diphtheria,HIV/AIDS,GDP,Life expectancy
1,4.25,96,18,46,97,97,0.1,1326.97339,73.6
1,3.66,96,662,45,97,97,0.1,1175.788981,72.6
21,,95,63,59.5,95,95,0.1,4132.76292,75.6
21,0.01,95,0,58.4,95,95,0.1,547.8517,75.4
21,0.53,95,25,57.2,95,95,0.1,5471.866766,75.3
21,0.66,95,18,56.1,95,95,0.1,5564.82566,75.1
21,0.56,95,112,55,95,95,0.1,5432.2523,74.9
21,0.45,95,103,53.9,95,95,0.1,4463.394675,74.7
20,0.5,94,107,52.8,94,95,0.1,3868.83123,74.4
20,0.46,91,217,51.8,92,93,0.1,495.254866,74.1
20,0.44,9,0,5.8,95,95,0.1,3935.183343,73.8
20,0.36,8,944,49.8,95,95,0.1,3464.6179,73.4
19,0.5,83,2302,48.9,88,88,0.1,31.122378,72.9
19,0.45,81,3289,47.9,86,86,0.1,2598.9823,72.3
20,0.34,,15374,47,87,87,0.1,294.33556,71.7
20,0.36,,5862,46.1,86,86,0.1,1774.33673,71.6
20,0.23,,2686,45.3,89,89,0.1,1732.857979,71.4
21,0.25,,0,44.4,86,86,0.1,1757.17797,71.3
66,,64,118,23.3,7,64,1.9,3695.793748,52.4
67,8.33,64,11699,22.7,68,64,2,479.31224,51.7
69,8.1,77,8523,22.1,67,77,2.3,484.616884,51.1
72,8.24,75,4458,21.5,75,75,2.6,4598.249988,56
75,8.06,72,1449,21,73,71,2.5,4299.12889,51
78,7.8,77,1190,2.4,81,77,2.5,3529.53482,49.6
81,7.01,61,2807,19.8,63,6,2.5,3347.84485,49.1
84,7.07,69,265,19.3,65,69,2.6,3868.578883,48.7
87,6.35,73,1014,18.8,75,73,2.6,2878.837144,48.2
90,5.84,,765,18.2,36,34,2.5,262.415149,47.7
92,5.04,,258,17.7,39,38,2.6,1443.991929,47.4
94,3.53,,29,17.2,4,4,2.5,141.86844,47.1
95,3.49,,1196,16.8,4,4,2.4,779.468356,46.8
96,2.82,,11945,16.3,37,41,2.3,711.181716,46.5
97,2.58,,9046,15.8,41,38,2.1,526.168743,45.7
97,1.85,,2219,15.4,3,28,2,555.2969419,45.3
0,,99,0,47.7,86,99,0.2,13566.9541,76.4
0,8.56,99,0,47,96,99,0.2,12888.29667,76.2
0,8.58,99,0,46.4,98,99,0.2,12224.86416,76.1
0,8.18,98,0,45.7,97,98,0.2,12565.44197,75.9
0,7.84,99,0,45.1,99,99,0.1,11929.34991,75.7
0,7.84,98,0,44.4,99,98,0.1,12126.87614,75.6
0,7.82,98,0,43.8,98,99,0.1,1312.46692,75.4
0,8.27,98,0,43.2,99,99,0.1,1473.31923,75.2
0,8.64,97,0,42.6,98,99,0.1,14252.29452,75
0,8.93,99,0,42,99,99,0.1,12724.39377,74.8
0,8.15,99,0,41.4,98,99,0.1,11371.93895,74.6
0,7.28,97,0,4.8,97,97,0.1,1352.8374,74.4
0,7.16,99,0,4.1,99,99,0.1,9739.82556,74.2
0,7.21,99,0,39.5,93,98,0.1,9386.716452,74
0,7.51,96,0,38.9,99,97,0.1,9358.154162,73.8
0,7.27,,0,38.2,96,95,0.1,9875.161736,73.6
8,,94,0,62.8,93,94,0.1,13467.1236,76.3
8,7.93,94,1,62.2,92,94,0.1,12245.25645,76.2
8,8.28,94,0,61.6,99,94,0.1,12976.63642,76
9,8.35,91,2,61,99,91,0.1,12969.7712,75.9
9,8.11,91,3,6.4,93,91,0.1,12726.9836,75.7
10,8.15,94,17,59.8,95,94,0.1,1276.265,75.5
10,8.33,94,3,59.2,97,94,0.1,8161.36966,75.6
10,8.41,9,0,58.6,94,93,0.1,8953.359275,75.4
10,8.16,85,0,58,92,91,0.1,7193.61764,74.8
11,7.75,84,0,57.5,92,91,0.1,5878.76127,75.2
11,7.53,88,0,56.9,95,98,0.1,576.883829,74.9
11,7.63,81,0,56.3,91,98,0.1,4251.574348,74.7
11,7.62,73,0,55.7,95,96,0.1,333.4376,74.1
12,7.81,66,0,55.1,94,93,0.1,2579.193168,74.1
12,7.76,,0,54.6,85,83,0.1,717.694674,74
12,7.68,,6,54,88,83,0.1,7669.273916,74.1
1,,94,33,54.9,96,94,0.1,369.654776,74.8
1,3.91,93,13,54.1,95,93,0.1,3994.712355,74.6
1,3.79,95,10,53.3,96,95,0.1,3843.591213,74.4
1,3.89,95,0,52.6,96,95,0.1,3684.8481,74.4
1,4.09,95,0,51.9,96,95,0.1,3526.978143,73.9
1,4.23,94,2,51.2,96,94,0.1,3218.381655,73.5
1,3.96,93,0,5.7,94,93,0.1,2993.832531,73.3
1,3.96,89,0,5.1,91,89,0.1,41.26997,73.2
1,3.99,85,1,49.7,9,88,0.1,3138.8873,73.5
1,4.01,78,137,49.2,87,87,0.1,2158.299,72.9
1,4.25,91,2281,48.8,92,9,0.1,1643.758397,73
1,3.81,91,1783,48.4,93,91,0.1,1191.96192,73
1,3.03,93,4,48.1,96,94,0.1,93.1661567,72.7
1,2.86,91,40,47.8,96,94,0.1,783.261699,72.6
1,2.86,69,69,47.4,97,94,0.1,694.435119,72.6
1,2.9,55,15,47.1,96,93,0.1,622.7427477,72
1,,93,74,66.6,93,93,0.1,56554.3876,82.8
1,9.71,91,340,66.1,92,92,0.1,62214.6912,82.7
1,9.87,91,158,65.5,91,91,0.1,67792.3386,82.5
1,10.03,91,199,65,92,92,0.1,67677.63477,82.3
1,10.3,92,190,64.4,92,92,0.1,62245.129,82
1,10.52,92,70,63.9,92,92,0.1,51874.848,81.9
1,10.62,94,104,63.4,92,92,0.1,42742.99898,81.7
1,10.76,94,65,62.9,92,92,0.1,49664.6854,81.3
1,10.56,94,11,62.5,92,92,0.1,4991.98289,81.3
1,10.31,95,0,62,92,92,0.1,36118.28381,81.2
1,10.3,95,10,61.5,92,92,0.1,3416.71483,81
1,9.84,95,70,6.9,92,92,0.1,3472.37977,86
1,9.97,95,91,6.3,92,93,0.1,23465.38559,83
1,9.84,95,32,59.6,92,92,0.1,281.81763,79.9
1,9.53,94,141,59,91,92,0.1,19517.84168,79.9
1,10.17,,108,58.2,9,9,0.1,2169.921,79.5
0,,93,309,57.6,93,93,0.1,43665.947,81.5
0,12.32,98,117,57.1,98,98,0.1,51322.63997,81.4
0,11.82,95,0,56.6,95,95,0.1,554.71532,81.1
0,12.26,92,36,56.1,92,92,0.1,48333.57273,88
0,12.04,89,68,55.7,89,89,0.1,51126.74139,88
0,12.1,86,52,55.2,86,86,0.1,46657.629,84
0,11.3,83,49,54.7,83,83,0.1,47654.18721,82
0,12,83,448,54.2,83,83,0.1,51386.37665,84
0,12.5,85,20,53.7,85,85,0.1,46586.6525,81
0,12.4,83,23,53.2,83,83,0.1,443.99361,79.8
0,12.4,86,9,52.7,86,86,0.1,38242.4252,79.4
0,12.1,83,15,52.2,83,83,0.1,36693.4262,79.3
0,12.2,83,90,51.7,84,84,0.1,3212.9355,78.8
0,12.5,81,0,51.2,82,83,0.1,26351.37568,78.7
0,12.4,44,0,5.6,83,84,0.1,24489.73553,78.6
0,13.2,33,0,5.1,71,81,0.1,24517.26745,78.1
5,,96,0,52.5,98,96,0.1,55.31382,72.7
5,0.01,94,0,51.5,97,94,0.1,7891.299776,72.5
5,2.14,93,164,5.6,96,93,0.1,7875.756953,72.2
5,0.01,88,0,49.7,92,89,0.1,7496.335728,71.9
5,1.98,84,0,48.8,91,87,0.1,7189.691229,71.6
5,1.98,8,0,48,85,81,0.1,5842.85784,71.1
6,2.1,74,0,47.3,84,81,0.1,495.294791,78
6,1.18,68,5,46.6,85,81,0.1,5574.6382,73
6,1.02,62,0,45.9,81,79,0.1,3851.437869,73
6,0.85,52,222,45.3,8,78,0.1,2473.85776,69.2
6,0.73,49,1238,44.7,79,75,0.1,1578.4239,68.4
6,0.62,5,827,44.2,78,77,0.1,145.2163,68.4
7,0.55,51,1978,43.6,79,77,0.1,883.6439965,67.8
7,0.55,5,4353,43.1,8,76,0.1,763.73858,67.8
8,0.51,,574,42.6,77,77,0.1,73.6838434,67.5
9,0.65,,210,42.1,75,76,0.1,655.974326,66.6
0,,95,0,64.5,95,95,0.1,,76.1
0,9.45,96,0,63.8,96,96,0.1,,75.4
0,9.42,97,0,63.2,97,97,0.1,,74.8
0,9.5,96,0,62.6,99,98,0.2,,74.9
0,9.34,95,0,62,97,98,0.1,,75
0,9.19,98,0,61.3,97,99,0.2,,75
0,9.29,95,0,6.7,97,96,0.1,,74.6
0,10.15,9,0,6.1,93,93,0.1,,74.5
0,10.75,93,0,59.4,95,95,0.1,,74.4
0,11.07,96,0,58.7,94,95,0.1,,74.2
0,10.49,93,0,58.1,93,93,0.1,,74.1
0,10.1,93,0,57.4,92,93,0.1,,73.8
0,10.68,88,0,56.7,93,92,0.1,,73.2
0,10.85,89,0,56,93,94,0.1,,73.1
0,11.64,21,0,55.2,98,99,0.2,,72.9
0,12.15,,0,54.4,91,99,0.1,,72.6
0,,98,0,63.6,98,98,0.1,22688.87824,76.9
0,1.57,98,46,62.9,98,98,0.1,24983.3792,76.8
0,1.65,99,0,62.2,99,99,0.1,251.18329,76.7
0,1.7,99,0,61.5,99,99,0.1,23649.36661,76.5
0,1.66,99,0,6.8,99,99,0.1,2281.1242,76.1
0,1.93,99,0,6.1,99,99,0.1,2722.1389,76.1
0,1.95,98,3,59.3,97,98,0.1,19356.67236,76
0,2,97,2,58.5,97,97,0.1,2367.56535,75.8
0,2,97,7,57.6,97,97,0.1,2977.1153,75.6
0,2.1,98,3,56.8,98,98,0.1,1937.99549,75.5
0,2.05,98,4,56.1,98,98,0.1,17959.17854,75.3
0,2.16,98,11,55.6,98,98,0.1,15846.47641,75.2
0,2.16,98,12,55.2,97,97,0.1,14221.99259,75
0,1.99,98,8,55,98,98,0.1,1312.33457,74.9
0,1.95,99,5,54.8,99,99,0.1,12868.211,74.7
0,2.15,97,6,54.5,97,97,0.1,13636.34668,74.5
92,,97,240,18.3,97,97,0.1,121.15812,71.8
98,0.01,97,289,17.7,97,97,0.1,184.56543,71.4
104,0.01,96,237,17,96,96,0.1,951.8894535,71
111,0.01,94,1986,16.4,94,94,0.1,856.342857,77
118,0.01,96,5625,15.8,96,96,0.1,835.789341,73
126,0.01,94,788,15.2,94,94,0.1,757.6717572,69.9
135,0.01,97,718,14.6,97,97,0.1,681.125368,69.5
144,0.01,96,2660,14,96,96,0.1,615.7775411,69.1
154,0.01,95,2924,13.5,96,94,0.1,541.651484,68.6
164,0.01,86,6192,13,95,94,0.1,494.51466,68.2
174,0.01,45,25934,12.5,94,93,0.1,484.155471,67.8
185,0.01,11,9743,12,88,99,0.1,46.7579167,67.3
196,0.01,5,4067,11.6,9,87,0.1,432.7388972,66.8
207,0.01,,3484,11.2,83,83,0.1,4.6135745,66.3
219,0.01,,4414,1.8,85,85,0.1,42.5981152,65.8
231,0.01,,5098,1.4,83,82,0.1,45.63371,65.3
0,,97,0,54.5,97,97,0.1,15557.8381,75.5
0,8.82,94,0,53.7,95,94,0.1,15359.66971,75.4
0,8.74,91,0,53,91,91,0.1,15472.7814,75.2
0,8.61,87,0,52.2,88,87,0.1,15384.8749,75.1
0,8.51,91,0,51.4,91,91,0.1,15534.1574,74.9
0,8.41,86,0,5.7,9,86,0.1,1595.91232,74.7
0,8.46,93,0,49.9,93,93,0.1,16523.32388,74.6
0,8.95,85,0,49.2,85,85,0.1,1657.3228,74.4
0,8.47,93,0,48.4,93,93,0.1,16462.48556,74.2
0,8.39,84,0,47.7,85,84,0.1,15646.5591,74.1
0,8.01,92,0,46.9,91,92,0.1,14223.86576,73.9
0,7.68,93,0,46.2,93,93,0.2,12868.8639,73.8
0,7.65,91,0,45.4,9,89,0.4,1228.5447,73.7
0,7.59,66,0,44.6,86,87,0.8,11675.39395,73.5
0,7.38,18,0,43.8,93,84,0.7,11513.87189,73.4
0,7.43,,0,43,86,93,0.9,11568.1111,73.3
0,,99,2,62.3,99,99,0.1,5949.11677,72.3
0,13.94,97,64,61.7,97,97,0.1,8318.429294,72
0,14.66,98,16,61.1,98,98,0.1,7978.825443,71.7
0,16.35,97,10,6.5,98,98,0.1,694.243915,71.9
0,17.31,98,50,59.9,98,98,0.1,6519.71753,72
0,14.44,96,1,59.3,99,98,0.1,63.38877,73
0,14.09,98,0,58.7,98,96,0.1,5176.172649,70
1,14.67,98,0,58.2,98,97,0.1,6376.183153,70
1,14.22,91,1,57.7,9,95,0.1,4735.484827,69.8
1,12.6,98,149,57.2,97,99,0.1,3848.215966,68.9
1,11.01,99,1,56.7,98,99,0.1,3126.71767,68.1
1,12.05,99,2,56.2,99,99,0.1,2378.33927,68.2
1,11.17,56,21,55.8,53,5,0.1,1819.525644,67.7
1,12.23,99,14,55.3,99,99,0.1,1479.383142,67.2
1,10.74,93,45,54.9,99,99,0.1,1244.373185,67.7
1,12.98,7,21,54.4,99,99,0.1,1276.28834,68
0,,98,47,63.7,99,99,0.1,4356.875,81.1
0,12.6,98,70,63.4,99,99,0.1,47439.39684,89
0,11.77,98,39,63,99,99,0.1,4651.38647,87
0,10.08,98,109,62.6,99,99,0.1,4474.5717,83
0,10.11,97,576,62.3,98,98,0.1,4772.77415,83
0,10.22,97,40,61.9,98,98,0.1,4438.23741,80
0,10.05,97,33,61.6,98,98,0.1,4488.5615,79.8
0,10.47,98,98,61.3,99,99,0.1,48424.58927,79.5
0,10.25,94,64,6.9,99,98,0.1,4443.83131,79.5
0,10.98,94,15,6.6,99,98,0.1,38852.3613,79.4
0,12.27,77,26,6.2,97,97,0.1,36967.28292,78.9
1,12.05,64,61,59.8,96,95,0.1,35589.71295,78.8
0,11.28,64,44,59.4,96,95,0.1,3743.95693,78.3
1,11.29,6,0,59,96,95,0.1,2552.3328,78
1,11.01,6,83,58.5,96,95,0.1,23121.56635,78
1,11.21,6,0,58.1,96,95,0.1,2327.4591,77.6
0,,94,0,5.9,94,94,0.2,4849.997495,71
0,6.58,95,0,5.1,95,95,0.2,4852.223666,70
0,6.56,95,0,49.3,95,95,0.2,4688.538443,69.8
0,6.66,98,0,48.5,98,98,0.1,4673.63848,69.4
0,6.64,95,0,47.8,95,95,0.5,4516.24675,69.4
0,6.76,96,0,47,96,96,0.2,4344.15177,69.5
0,6.85,97,0,46.3,98,97,0.3,4258.788611,69.5
0,7.22,94,0,45.7,94,94,0.1,447.22796,69.6
0,7.24,96,0,45,97,96,0.6,4324.876427,69.6
0,6.48,98,0,44.4,98,98,0.6,4187.3783,69.4
0,6.25,96,0,43.8,96,96,0.8,3933.332215,69
0,6.2,97,0,43.2,97,97,0.8,3831.53819,68.7
0,5.67,96,0,42.6,95,96,1.5,3679.99523,68.4
0,4.99,97,0,42,93,89,0.1,3556.561825,68.5
0,4.9,96,0,41.4,96,96,0.4,3419.275719,68.2
0,4.79,76,0,4.8,91,91,0.3,3364.423711,68.3
25,,82,55,25.7,78,82,1,783.94791,60
25,0.01,78,786,25.2,74,78,1.1,943.686575,59.7
25,0.01,77,637,24.6,73,77,1.2,915.2674586,59.5
25,0.01,8,288,24.1,8,8,1.3,837.9551,59.3
25,1.4,75,426,23.5,77,75,1.4,825.9427854,59.1
25,1.33,76,392,23,77,76,1.4,757.695974,58.7
25,1.16,79,1461,22.5,8,79,1.6,793.45243,58.4
25,1.28,75,928,22,77,75,1.8,82.1513498,57.6
25,1.12,82,341,21.5,82,82,2,76.535419,57.1
25,1.19,74,176,21,76,74,2,625.8392,56.8
25,1.13,7,210,2.5,73,7,2.1,61.799977,56.5
25,1.15,75,262,2.1,74,72,2.1,583.493514,56.1
25,1.35,73,217,19.7,75,73,2.1,519.2922847,55.8
25,1.23,15,1588,19.2,76,75,2.1,418.6985763,55.6
25,1.29,,5859,18.8,77,76,2.1,378.73654,55.5
25,1.34,,4244,18.4,78,78,2,374.1923942,55.4
0,,99,11,24.5,98,99,0.5,2613.645177,69.8
0,0.01,99,0,23.6,98,99,0.5,2522.7968,69.4
0,0.01,97,0,22.7,97,97,0.6,235.882889,69.1
0,0.01,97,1,21.9,97,97,0.6,2422.816,68.7
0,0.23,95,10,21.1,95,95,0.5,2458.45976,68.3
1,0.28,91,21,2.3,92,91,0.5,2178.921383,67.9
1,0.17,93,6,19.5,93,93,0.4,177.234497,67.4
1,0.21,96,7,18.8,96,96,0.4,1795.18137,67
1,0.16,95,11,18,93,95,0.3,1741.142552,66.5
1,0.29,95,2,17.4,96,95,0.3,1335.45696,65.8
1,0.73,95,11,16.7,95,95,0.3,1247.61392,65
1,0.96,89,3,16.1,9,89,0.3,197.45788,64.2
1,0.52,95,0,15.5,96,95,0.2,997.7417141,63.3
1,0.29,83,27,14.9,89,86,0.1,885.6382245,62.5
1,0.14,89,756,14.4,88,88,0.1,87.9387673,61.7
1,0.17,98,418,13.9,98,92,0.1,765.8632358,62
8,,99,0,52.6,99,99,0.1,,77
8,3.62,98,0,51.9,99,98,0.1,,74
8,3.78,94,0,51.2,95,94,0.1,,71
8,3.89,93,0,5.6,93,93,0.1,,69.8
9,3.93,95,0,49.9,95,95,0.2,,69.3
9,3.95,91,0,49.3,9,91,0.2,,68.7
10,3.87,93,0,48.6,92,93,0.2,,68
10,3.77,88,0,48,87,88,0.2,,67.4
11,3.47,84,0,47.3,85,84,0.2,,66.8
11,3.23,83,0,46.7,82,83,0.2,,66.2
12,2.86,85,0,46,84,85,0.2,,65.7
12,2.66,84,0,45.4,84,84,0.2,,65.1
13,2.37,8,0,44.7,82,88,0.2,,64.5
14,2.26,77,0,44,76,77,0.1,,63.9
14,2.2,77,0,43.3,71,71,0.1,,63.3
15,2.32,77,122,42.6,74,75,0.1,,62.6
0,,82,1677,55.8,74,82,0.1,4574.9787,77.4
0,4.03,89,3000,55.3,86,86,0.1,5193.94932,77.2
0,4.12,91,0,54.7,87,89,0.1,535.86555,77
0,4.61,92,22,54.2,87,92,0.1,4716.673325,76.8
0,4.64,88,10,53.7,89,88,0.1,55.156834,76.9
0,4.54,89,45,53.1,9,89,0.1,4611.47298,76.4
0,4.75,9,22,52.6,9,9,0.1,4697.89732,76.1
0,5.13,88,8,52.1,92,91,0.1,575.31664,76
0,5.16,94,166,51.5,95,95,0.1,418.292176,75.4
0,4.82,9,17,51,91,87,0.1,344.321698,75.7
0,4.56,93,23,5.5,95,93,0.1,2968.41186,75
0,4.25,36,28,49.9,87,84,0.1,265.642661,75.5
0,4.14,,18,49.4,87,87,0.1,2214.732246,75.2
0,3.84,,28,48.8,86,8,0.1,1761.537647,75.4
0,3.85,,0,48.2,92,91,0.1,1524.41222,74.9
0,3.64,,43,47.6,87,85,0.1,1461.7552,74.6
2,,95,0,37.9,96,95,2.2,6532.651,65.7
2,0.01,95,1,37.3,96,95,2.3,7497.762376,65.1
2,0.01,95,1,36.8,96,95,2.8,77.625783,64.2
2,0.01,95,7,36.2,96,95,4.4,729.231453,63.4
2,5.76,95,8,35.7,96,95,5.5,7645.21469,62.2
2,5.99,95,853,35.2,96,95,6.2,6346.15624,61.1
2,5.01,94,184,34.7,96,96,9,5185.729845,59.2
2,6.56,94,0,34.2,96,96,12.7,5623.379566,57.5
2,6.21,93,1,33.7,96,96,13.4,5714.47937,56.9
2,6.45,93,6,33.2,96,96,14.4,5374.554867,54.8
2,6.37,92,5,32.7,96,96,20.6,5351.253732,51.7
2,4.9,91,1,32.2,96,96,28.4,4896.583835,48.1
2,5.51,9,59,31.6,96,96,31.9,4163.6596,46.4
2,6.41,88,7,31.1,97,97,34.6,355.618382,46
2,5.48,87,1,3.5,97,97,37.2,3128.97793,46.7
2,5.37,86,2672,29.9,97,97,38.8,3349.68823,47.8
42,,96,214,56.1,98,96,0.1,8757.2622,75
44,7.32,96,876,55.3,96,93,0.1,1226.61731,74.8
46,7.24,96,220,54.5,96,97,0.1,12216.9446,74.7
49,7.55,96,2,53.6,96,95,0.1,12291.46685,74.5
51,7.58,98,43,52.8,98,99,0.1,13167.47289,74.1
54,7.52,96,68,52,99,99,0.1,11224.1548,73.8
57,7.33,99,0,51.1,99,99,0.1,8553.3847,73.6
61,7.21,96,0,5.3,99,99,0.1,8787.61375,73.4
65,7.19,99,0,49.4,99,99,0.1,7313.557962,73.3
70,7.1,99,57,48.6,99,99,0.1,586.145975,73
75,6.97,98,6,47.8,99,99,0.1,477.182746,72.7
81,6.85,96,0,46.9,99,99,0.1,3623.47667,72
88,6.95,97,2,46.1,99,99,0.1,359.587582,71.8
95,7,92,1,45.3,99,99,0.1,2819.649531,71.4
103,7.13,91,1,44.5,99,98,0.1,3146.95177,71
111,7.26,94,36,43.7,99,98,0.1,3739.11936,75
0,,99,4,41.2,99,99,0.1,3967.8951,77.7
0,0.01,99,1,4.2,99,99,0.1,4159.8652,77.6
0,0.01,98,0,39.2,99,99,0.1,44597.27968,77.1
0,0.01,99,1,38.2,99,99,0.1,47651.2599,78.3
0,0.97,93,4,37.2,99,97,0.1,4717.273,77.4
0,0.88,96,0,36.2,99,95,0.1,35268.1117,76.9
0,0.25,96,2,35.2,99,99,0.1,27965.4754,76.8
0,0.67,96,3,34.2,97,98,0.1,37951.286,77.2
0,0.85,97,0,33.2,95,99,0.1,32672.36717,76
0,0.67,99,0,32.2,94,97,0.1,398.96692,76.3
0,0.16,99,9,31.2,93,94,0.1,2612.13345,76.2
0,0.11,99,16,3.1,92,92,0.1,21896.6527,76.4
0,0.12,99,24,29.1,99,92,0.1,18555.56649,76
0,0.13,99,0,28,99,94,0.1,16846.2198,74.8
0,0.47,99,11,27,99,97,0.1,16468.12886,74.7
0,0.37,99,42,26.1,99,99,0.1,188.44826,74.4
0,,92,0,65.7,91,91,0.1,6993.47736,74.5
1,12.03,95,0,65.1,88,88,0.1,7853.335191,74.3
1,12.06,95,14,64.5,95,95,0.1,7674.86559,74.1
1,10.99,95,1,63.9,95,95,0.1,7378.25539,73.9
1,10.67,96,157,63.3,95,95,0.1,7813.83499,73.7
1,10.8,95,22004,62.7,94,94,0.1,6843.263289,73.4
1,10.93,96,2249,62.1,94,94,0.1,6955.987733,73.2
1,10.98,96,1,61.5,96,95,0.1,7296.122479,72.9
1,10.89,95,1,6.9,95,95,0.1,5932.899677,72.6
1,10.39,96,1,6.3,96,95,0.1,4513.13628,72.2
1,10.48,96,3,59.7,97,96,0.1,3893.68998,72.1
1,10.96,94,0,59.1,94,95,0.1,3381.57837,72.2
1,11.19,96,0,58.6,96,96,0.1,271.46824,72
1,10.2,88,0,58.1,94,93,0.1,287.534843,71.8
1,10.72,93,8,57.5,94,94,0.1,1764.97387,71.6
1,9.69,94,46,57,94,93,0.1,169.28586,71.1
38,,91,99,19.4,91,91,0.6,615.592225,59.9
39,0.01,91,343,18.8,91,91,0.6,75.1464113,59.3
40,4.64,88,375,18.2,89,88,0.7,699.452847,59
41,4.75,9,7362,17.7,9,9,0.8,673.8227,58.6
42,4.51,91,860,17.1,9,91,0.9,666.842783,58.1
43,4.55,91,2511,16.6,9,91,1,575.4464527,57.5
44,4.55,92,54118,16.1,91,92,1.1,552.7455521,56.9
45,4.5,93,395,15.6,92,93,1.5,569.7612784,56.1
46,4.58,89,12,15.1,93,89,1.7,475.11122,55.3
47,4.73,76,125,14.6,94,86,2,422.6332374,54.3
48,4.88,,253,14.2,94,82,2.3,46.998871,53.3
49,4.54,,77,13.7,83,79,2.5,371.323865,52.4
49,4.58,,2946,13.3,83,79,2.9,332.344351,51.6
49,4.53,,1744,12.9,69,69,3.2,26.7635413,51
48,4.56,,4174,12.5,62,62,3.6,235.4912324,56
48,3.71,,6074,12.2,45,45,4,226.4759814,51
21,,94,9,18.7,94,94,0.7,33.681223,59.6
22,0.01,95,0,18.2,95,95,0.7,312.7489794,59.1
22,0.01,96,0,17.6,96,96,1,282.7555252,58.6
22,0.01,96,49,17.1,96,96,1.2,265.285651,58
22,4.16,96,129,16.6,95,96,1.5,26.479973,57.4
23,4.16,96,495,16.1,94,96,1.9,231.1943256,56.8
23,4.05,94,305,15.7,96,94,2.4,24.944652,56.2
23,4.33,92,173,15.2,89,92,2.9,196.2472628,55.3
24,4.54,99,43,14.8,93,99,3.4,17.79995,54.8
24,4.5,92,784,14.5,88,92,3.8,165.8794176,54.1
24,5.54,87,0,14.1,82,87,4.3,15.57434,53.4
24,5.72,83,2,13.8,76,83,4.8,127.4296648,52.6
24,5.84,,224,13.5,75,82,5.1,112.849373,51.9
24,5.98,,1016,13.3,74,81,5.2,122.4335893,51.5
25,6.09,,0,13,72,81,5.3,133.7427689,51.3
25,6.61,,18363,12.8,71,8,5.2,135.9984455,58
57,,83,65,28,81,83,1.9,,53.3
58,0.01,76,50,27.4,76,76,2,,52.8
59,3.15,8,48,26.8,79,8,2.4,,52.3
59,3.24,82,137,26.2,83,82,2.9,,52
60,3.13,62,628,25.6,58,62,3.3,,51.7
60,3.15,85,441,25,81,85,3.3,,51.5
60,2.92,81,183,24.4,77,81,3.7,,51
60,2.69,74,12,23.8,58,74,4.1,,54
61,2.58,76,5,23.2,75,76,5.3,,49.9
62,2.65,77,11,22.6,76,77,5.8,,49.4
63,3.11,76,115,22.1,87,76,6.1,,48.7
64,3.08,67,3466,21.5,76,67,6.5,,48.2
64,3.12,63,4770,2.9,68,61,6.7,,48
65,3.13,48,5882,2.4,7,64,6.9,,47.7
65,3.15,1,5790,19.9,7,66,7,,47.8
67,3.45,,5729,19.4,66,65,7.1,,47.9
0,,96,0,31.3,93,93,0.2,2954.119467,73.3
0,0.01,97,0,3.5,95,95,0.2,3529.61843,73
0,0.01,94,0,29.7,93,93,0.2,3558.796314,72.8
0,0.01,94,0,29,94,94,0.3,348.482762,72.7
0,5.07,9,0,28.2,9,9,0.3,367.429453,72.6
0,4.75,98,0,27.5,99,99,0.4,3312.825985,72.5
0,4.45,98,0,26.8,99,99,0.4,3444.5566,72.4
